team,player_name,birth_date,age_years,market_value_eur,position,club,jersey_number,caps,career_goals,captain,wc2026_apps,wc2026_goals,wc2026_yellow,wc2026_red,source,retrieved_at
Aldosivi,Lucas Acosta,1995-03-12,31.0,,G,Aldosivi,42,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Sebastian Moyano,1990-08-26,35.0,,G,Aldosivi,17,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Ignacio Chicco,1996-06-30,30.0,,G,Aldosivi,23,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Leonardo Sigali,1987-05-29,39.0,,D,Aldosivi,2,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Lucas Rodríguez,1993-09-27,32.0,,D,Aldosivi,18,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Néstor Breitenbruch,1995-09-13,30.0,,D,Aldosivi,25,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Nicolás Zalazar,1997-01-29,29.0,,D,Aldosivi,33,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Rodrigo González,2000-04-14,26.0,,D,Aldosivi,4,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Guillermo Enrique,2000-02-24,26.0,,D,Aldosivi,2,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Elías López,2000-07-08,26.0,,D,Aldosivi,14,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Matias Morello,2001-02-12,25.0,,D,Aldosivi,16,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Joaquin Pombo,2001-03-18,25.0,,D,Aldosivi,32,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Federico Laurelli,2004-07-10,22.0,,D,Aldosivi,71,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Mateo Sebastián Vales,,,,D,Aldosivi,38,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Lucas Castro,1989-04-09,37.0,,M,Aldosivi,19,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Roberto Bochi,1987-07-06,39.0,,M,Aldosivi,5,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Federico Acevedo,1993-02-26,33.0,,M,Aldosivi,13,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Franco Leys,1993-10-18,32.0,,M,Aldosivi,32,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Esteban Rolón,1995-03-25,31.0,,M,Aldosivi,8,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Nicolás Linares,1996-03-06,30.0,,M,Aldosivi,5,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Lautaro Chávez,2001-01-17,25.0,,M,Aldosivi,80,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Martín García,2005-08-06,20.0,,M,Aldosivi,55,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Augusto Fernández,2006-01-06,20.0,,F,Aldosivi,48,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Andrés Chávez,1991-03-21,35.0,,F,Aldosivi,18,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Alan Sosa,2003-05-05,23.0,,F,Aldosivi,10,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Andrés Vombergar,1994-11-20,31.0,,F,Aldosivi,29,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Nicolás Cordero,1999-04-11,27.0,,F,Aldosivi,9,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Matias Godoy,2002-01-10,24.0,,F,Aldosivi,21,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Tomás Fernandez,1998-02-11,28.0,,F,Aldosivi,27,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Emanuel Guzmán,1999-08-11,26.0,,F,Aldosivi,7,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Blas Palavecino,2003-03-09,23.0,,F,Aldosivi,11,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Bautista Dadín,2006-05-20,20.0,,F,Aldosivi,16,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Aldosivi,Felipe Anso,2007-03-08,19.0,,F,Aldosivi,24,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Diego Rodríguez,1989-06-25,37.0,,G,Argentinos Juniors,50,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Brayan Cortés,1995-03-11,31.0,,G,Argentinos Juniors,25,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Gonzalo Siri Payer,2003-02-01,23.0,,G,Argentinos Juniors,12,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Erik Godoy,1993-08-16,32.0,,D,Argentinos Juniors,4,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Sebastián Prieto,1993-04-09,33.0,,D,Argentinos Juniors,20,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Luciano Sanchez,2005-02-02,21.0,,F,Argentinos Juniors,3,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Claudio Bravo,1997-03-13,29.0,,D,Argentinos Juniors,26,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Francisco Álvarez,2000-02-26,26.0,,D,Argentinos Juniors,16,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
Argentinos Juniors,Franco Paredes,1999-03-18,27.0,,D,Argentinos Juniors,17,,,,,,,,espn,2026-07-31T22:13:11.123615+00:00
