match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762774,Aldosivi,0.445,244,167,68.4,9,3,,,1,0,18,4,3,2,1.38
762774,Defensa y Justicia,0.555,301,211,70.1,10,2,,,3,0,6,4,0,3,1.24
762776,Banfield,0.377,236,156,66.1,14,4,,,6,1,8,4,2,3,2.0
762776,Huracán,0.623,408,315,77.2,11,4,,,2,1,14,2,1,3,1.76
762788,Unión (Santa Fe),0.522,424,316,74.5,19,3,,,7,0,11,3,1,5,2.18
762788,Platense,0.478,393,276,70.2,13,5,,,3,0,7,4,1,3,2.14
762779,Central Córdoba (Santiago del Estero),0.69,524,443,84.5,16,4,,,7,0,9,14,1,3,2.16
762779,Gimnasia (Mendoza),0.31,245,163,66.5,11,4,,,2,1,10,2,0,4,1.76
762783,Instituto (Córdoba),0.47,320,228,71.2,13,5,,,3,0,10,4,4,2,2.14
762783,Vélez Sarsfield,0.53,375,281,74.9,7,3,,,1,1,16,2,2,5,1.22
762785,San Lorenzo,0.592,395,321,81.3,17,4,,,4,2,14,6,2,3,2.24
762785,Lanús,0.408,285,209,73.3,13,6,,,0,3,20,8,2,3,2.36
762781,Independiente,0.399,284,205,72.2,13,3,,,4,1,9,10,1,1,1.7
762781,Estudiantes de La Plata,0.601,445,357,80.2,11,2,,,3,1,10,5,1,2,1.32
762782,Independiente Rivadavia,0.421,216,137,63.4,11,5,,,1,2,13,1,3,4,1.98
762782,Atlético Tucumán,0.579,296,200,67.6,14,5,,,3,1,11,3,0,3,2.22
762786,Talleres (Córdoba),0.714,517,446,86.3,17,6,,,6,2,10,11,2,2,2.68
762786,Newell's Old Boys,0.286,192,134,69.8,10,3,,,1,1,10,4,2,4,1.46
762777,Barracas Central,0.33,229,141,61.6,11,2,,,6,0,15,6,4,5,1.32
762777,River Plate,0.67,475,396,83.4,20,7,,,5,1,9,6,5,2,3.14
762780,Gimnasia La Plata,0.26,199,118,59.3,7,5,,,1,2,13,4,1,2,1.66
762780,Racing Club,0.74,566,469,82.9,13,3,,,3,1,15,5,0,3,1.7
762784,Rosario Central,0.504,379,312,82.3,17,8,,,2,1,6,4,3,5,3.12
762784,Belgrano (Córdoba),0.496,382,307,80.4,13,6,,,3,2,11,4,2,7,2.36
762778,Boca Juniors,0.793,574,505,88.0,19,3,,,8,1,9,12,0,1,2.18
762778,Deportivo Riestra,0.207,155,80,51.6,6,1,,,2,0,19,1,2,2,0.7
762775,Argentinos Juniors,0.699,421,353,83.8,24,11,,,3,1,8,9,0,1,4.34
762775,Sarmiento (Junín),0.301,183,109,59.6,2,1,,,1,0,21,2,3,9,0.38
762787,Tigre,0.517,357,264,73.9,11,3,,,3,2,16,3,0,2,1.54
762787,Estudiantes de Río Cuarto,0.483,326,236,72.4,9,2,,,2,0,9,6,1,1,1.16
762799,Platense,0.451,323,234,72.4,10,5,,,1,2,12,3,4,5,1.9
762799,Instituto (Córdoba),0.549,394,294,74.6,10,5,,,2,1,13,2,2,3,1.9
762802,Vélez Sarsfield,0.528,351,272,77.5,10,4,,,1,2,8,6,1,7,1.68
762802,Talleres (Córdoba),0.472,312,224,71.8,21,8,,,3,1,11,7,1,2,3.44
762795,Gimnasia (Mendoza),0.583,346,250,72.3,13,3,,,4,0,11,4,3,0,1.7
762795,San Lorenzo,0.417,251,142,56.6,9,1,,,3,1,12,4,3,3,0.94
762796,Huracán,0.611,420,336,80.0,9,2,,,3,1,14,2,1,4,1.16
762796,Independiente Rivadavia,0.389,269,182,67.7,8,6,,,0,2,14,5,1,1,1.96
762803,Atlético Tucumán,0.628,440,348,79.1,21,5,,,5,0,17,5,3,2,2.78
762803,Central Córdoba (Santiago del Estero),0.372,266,165,62.0,3,2,,,0,0,14,2,0,5,0.68
762798,Newell's Old Boys,0.507,231,152,65.8,12,4,,,1,1,13,6,5,1,1.84
762798,Independiente,0.493,244,156,63.9,6,2,,,1,1,19,3,1,3,0.92
762789,Aldosivi,0.588,433,344,79.4,8,3,,,1,0,16,3,1,3,1.3
762789,Barracas Central,0.412,311,199,64.0,8,3,,,2,0,5,1,1,3,1.3
762800,Racing Club,0.705,484,397,82.0,21,7,,,6,1,16,1,1,1,3.22
762800,Rosario Central,0.295,205,109,53.2,6,3,,,1,2,11,2,3,6,1.14
762801,River Plate,0.707,635,556,87.6,17,8,,,0,2,12,6,2,1,3.12
762801,Gimnasia La Plata,0.293,255,172,67.5,3,1,,,1,0,11,4,5,6,0.46
762794,Estudiantes de La Plata,0.33,230,171,74.3,13,7,,,2,2,14,5,0,2,2.58
762794,Boca Juniors,0.67,464,397,85.6,10,3,,,5,1,8,7,4,5,1.46
762792,Deportivo Riestra,0.54,333,225,67.6,12,2,,,3,0,19,4,2,2,1.4
762792,Defensa y Justicia,0.46,293,195,66.6,5,3,,,0,1,10,3,1,2,1.06
762791,Belgrano (Córdoba),0.597,441,355,80.5,12,1,,,3,1,6,7,2,2,1.18
762791,Tigre,0.403,316,219,69.3,6,3,,,1,1,8,1,0,0,1.14
762797,Lanús,0.598,522,435,83.3,15,6,,,3,2,7,5,3,4,2.52
762797,Unión (Santa Fe),0.402,343,254,74.1,15,5,,,5,1,9,7,0,3,2.3
762793,Estudiantes de Río Cuarto,0.264,229,150,65.5,7,0,,,1,0,18,1,3,3,0.56
762793,Argentinos Juniors,0.736,652,563,86.3,11,3,,,3,0,13,6,3,0,1.54
762790,Sarmiento (Junín),0.61,384,303,78.9,23,9,,,10,1,14,9,1,2,3.82
762790,Banfield,0.39,242,162,66.9,9,2,,,1,0,18,2,0,8,1.16
762815,San Lorenzo,0.526,344,271,78.8,11,1,,,5,1,12,7,1,3,1.1
762815,Central Córdoba (Santiago del Estero),0.474,305,228,74.8,8,3,,,1,0,17,4,0,0,1.3
762811,Independiente,0.535,339,243,71.7,13,4,,,5,1,9,3,7,5,1.92
762811,Vélez Sarsfield,0.465,294,179,60.9,12,5,,,3,1,14,6,3,4,2.06
762818,Atlético Tucumán,0.476,286,188,65.7,11,4,,,2,1,9,6,1,0,1.76
762818,Huracán,0.524,331,227,68.6,9,1,,,3,1,15,5,3,3,0.94
762805,Talleres (Córdoba),0.598,443,345,77.9,12,2,,,3,1,13,6,2,1,1.4
762805,Platense,0.402,303,221,72.9,5,2,,,1,2,10,2,1,2,0.84
762807,Barracas Central,0.641,471,375,79.6,11,4,,,4,1,8,0,0,1,1.76
762807,Deportivo Riestra,0.359,263,174,66.2,9,2,,,2,1,19,2,2,3,1.16
762808,Boca Juniors,0.596,401,319,79.6,8,5,,,0,2,14,2,1,1,1.74
762808,Newell's Old Boys,0.404,267,198,74.2,6,1,,,2,0,23,1,0,3,0.7
762814,Rosario Central,0.343,265,178,67.2,9,3,,,2,0,10,6,5,4,1.38
762814,River Plate,0.657,521,439,84.3,17,4,,,6,0,16,3,2,3,2.24
762810,Gimnasia La Plata,0.502,345,276,80.0,14,6,,,1,3,13,1,0,0,2.44
762810,Aldosivi,0.498,331,241,72.8,13,1,,,5,1,17,3,0,3,1.26
762809,Defensa y Justicia,0.627,461,409,88.7,14,6,,,2,0,8,3,6,1,2.44
762809,Estudiantes de La Plata,0.373,278,210,75.5,9,1,,,2,0,8,0,0,6,0.94
762817,Tigre,0.333,203,130,64.0,12,8,,,0,3,10,5,3,3,2.72
762817,Racing Club,0.667,407,354,87.0,12,3,,,1,1,13,7,1,5,1.62
762804,Argentinos Juniors,0.604,594,514,86.5,17,6,,,2,0,7,5,4,5,2.68
