team,fifa_code,group,fifa_ranking,fifa_ranking_prev,base_camp_city,base_camp_facility,base_camp_country,base_camp_lat,base_camp_lon,crest_url,source,retrieved_at
Boca Juniors,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/5.png,espn,2026-08-02T13:00:10.064048+00:00
Estudiantes de La Plata,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/8.png,espn,2026-08-02T13:00:10.064048+00:00
Independiente,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/11.png,espn,2026-08-02T13:00:10.064048+00:00
Lanús,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/12.png,espn,2026-08-02T13:00:10.064048+00:00
Newell's Old Boys,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/14.png,espn,2026-08-02T13:00:10.064048+00:00
San Lorenzo,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/18.png,espn,2026-08-02T13:00:10.064048+00:00
Talleres (Córdoba),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/19.png,espn,2026-08-02T13:00:10.064048+00:00
Unión (Santa Fe),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/20.png,espn,2026-08-02T13:00:10.064048+00:00
Vélez Sarsfield,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/21.png,espn,2026-08-02T13:00:10.064048+00:00
Instituto (Córdoba),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/2975.png,espn,2026-08-02T13:00:10.064048+00:00
Platense,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/7764.png,espn,2026-08-02T13:00:10.064048+00:00
Defensa y Justicia,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/8950.png,espn,2026-08-02T13:00:10.064048+00:00
Gimnasia (Mendoza),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/11972.png,espn,2026-08-02T13:00:10.064048+00:00
Central Córdoba (Santiago del Estero),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/11989.png,espn,2026-08-02T13:00:10.064048+00:00
Deportivo Riestra,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/17702.png,espn,2026-08-02T13:00:10.064048+00:00
Argentinos Juniors,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/3.png,espn,2026-08-02T13:00:10.064048+00:00
Belgrano (Córdoba),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/4.png,espn,2026-08-02T13:00:10.064048+00:00
Gimnasia La Plata,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/9.png,espn,2026-08-02T13:00:10.064048+00:00
Huracán,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/10.png,espn,2026-08-02T13:00:10.064048+00:00
Racing Club,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/15.png,espn,2026-08-02T13:00:10.064048+00:00
River Plate,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/16.png,espn,2026-08-02T13:00:10.064048+00:00
Rosario Central,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/17.png,espn,2026-08-02T13:00:10.064048+00:00
Banfield,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/235.png,espn,2026-08-02T13:00:10.064048+00:00
Tigre,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/7767.png,espn,2026-08-02T13:00:10.064048+00:00
Aldosivi,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/9739.png,espn,2026-08-02T13:00:10.064048+00:00
Independiente Rivadavia,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/9744.png,espn,2026-08-02T13:00:10.064048+00:00
Atlético Tucumán,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/9785.png,espn,2026-08-02T13:00:10.064048+00:00
Barracas Central,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/10060.png,espn,2026-08-02T13:00:10.064048+00:00
Sarmiento (Junín),,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/10158.png,espn,2026-08-02T13:00:10.064048+00:00
Estudiantes de Río Cuarto,,,,,,,,,,https://a.espncdn.com/i/teamlogos/soccer/500/19685.png,espn,2026-08-02T13:00:10.064048+00:00
