match_id,competition,season,stage,group,match_date,home_team,away_team,home_score,away_score,stadium,referee
20260001,FIFA World Cup,2026,Group A,,2026-06-11,Mexico,South Africa,2,0,Mexico City Stadium,
20260002,FIFA World Cup,2026,Group A,,2026-06-11,Korea Republic,Czechia,2,1,Guadalajara Stadium,
20260003,FIFA World Cup,2026,Group B,,2026-06-12,Canada,Bosnia and Herzegovina,1,1,Toronto Stadium,
20260004,FIFA World Cup,2026,Group D,,2026-06-12,USA,Paraguay,4,1,Los Angeles Stadium,
20260005,FIFA World Cup,2026,Group C,,2026-06-13,Haiti,Scotland,0,1,Boston Stadium,
20260006,FIFA World Cup,2026,Group D,,2026-06-13,Australia,Türkiye,2,0,BC Place Vancouver,
20260007,FIFA World Cup,2026,Group C,,2026-06-13,Brazil,Morocco,1,1,New York/New Jersey Stadium,
20260008,FIFA World Cup,2026,Group B,,2026-06-13,Qatar,Switzerland,1,1,San Francisco Bay Area Stadium,
20260009,FIFA World Cup,2026,Group E,,2026-06-14,Côte d'Ivoire,Ecuador,1,0,Philadelphia Stadium,
20260010,FIFA World Cup,2026,Group E,,2026-06-14,Germany,Curaçao,7,1,Houston Stadium,
20260011,FIFA World Cup,2026,Group F,,2026-06-14,Netherlands,Japan,2,2,Dallas Stadium,
20260012,FIFA World Cup,2026,Group F,,2026-06-14,Sweden,Tunisia,5,1,Monterrey Stadium,
20260013,FIFA World Cup,2026,Group H,,2026-06-15,Saudi Arabia,Uruguay,1,1,Miami Stadium,
20260014,FIFA World Cup,2026,Group H,,2026-06-15,Spain,Cabo Verde,0,0,Atlanta Stadium,
20260015,FIFA World Cup,2026,Group G,,2026-06-15,IR Iran,New Zealand,2,2,Los Angeles Stadium,
20260016,FIFA World Cup,2026,Group G,,2026-06-15,Belgium,Egypt,1,1,Seattle Stadium,
20260017,FIFA World Cup,2026,Group I,,2026-06-16,France,Senegal,3,1,New York/New Jersey Stadium,
20260018,FIFA World Cup,2026,Group I,,2026-06-16,Iraq,Norway,1,4,Boston Stadium,
20260019,FIFA World Cup,2026,Group J,,2026-06-16,Argentina,Algeria,3,0,Kansas City Stadium,
20260020,FIFA World Cup,2026,Group J,,2026-06-16,Austria,Jordan,3,1,San Francisco Bay Area Stadium,
20260021,FIFA World Cup,2026,Group L,,2026-06-17,Ghana,Panama,1,0,Toronto Stadium,
20260022,FIFA World Cup,2026,Group L,,2026-06-17,England,Croatia,4,2,Dallas Stadium,
20260023,FIFA World Cup,2026,Group K,,2026-06-17,Portugal,Congo DR,1,1,Houston Stadium,
20260024,FIFA World Cup,2026,Group K,,2026-06-17,Uzbekistan,Colombia,1,3,Mexico City Stadium,
20260025,FIFA World Cup,2026,Group A,,2026-06-18,Czechia,South Africa,1,1,Atlanta Stadium,
20260026,FIFA World Cup,2026,Group B,,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,Los Angeles Stadium,
20260027,FIFA World Cup,2026,Group B,,2026-06-18,Canada,Qatar,6,0,BC Place Vancouver,
20260028,FIFA World Cup,2026,Group A,,2026-06-18,Mexico,Korea Republic,1,0,Guadalajara Stadium,
20260029,FIFA World Cup,2026,Group C,,2026-06-19,Brazil,Haiti,3,0,Philadelphia Stadium,
20260030,FIFA World Cup,2026,Group C,,2026-06-19,Scotland,Morocco,0,1,Boston Stadium,
20260031,FIFA World Cup,2026,Group D,,2026-06-19,Türkiye,Paraguay,0,1,San Francisco Bay Area Stadium,
20260032,FIFA World Cup,2026,Group D,,2026-06-19,USA,Australia,2,0,Seattle Stadium,
20260033,FIFA World Cup,2026,Group E,,2026-06-20,Germany,Côte d'Ivoire,2,1,Toronto Stadium,
20260034,FIFA World Cup,2026,Group E,,2026-06-20,Ecuador,Curaçao,0,0,Kansas City Stadium,
20260035,FIFA World Cup,2026,Group F,,2026-06-20,Netherlands,Sweden,5,1,Houston Stadium,
20260036,FIFA World Cup,2026,Group F,,2026-06-20,Tunisia,Japan,0,4,Monterrey Stadium,
20260037,FIFA World Cup,2026,Group H,,2026-06-21,Uruguay,Cabo Verde,2,2,Miami Stadium,
20260038,FIFA World Cup,2026,Group H,,2026-06-21,Spain,Saudi Arabia,4,0,Atlanta Stadium,
20260039,FIFA World Cup,2026,Group G,,2026-06-21,Belgium,IR Iran,0,0,Los Angeles Stadium,
20260040,FIFA World Cup,2026,Group G,,2026-06-21,New Zealand,Egypt,1,3,BC Place Vancouver,
20260041,FIFA World Cup,2026,Group I,,2026-06-22,Norway,Senegal,3,2,New York/New Jersey Stadium,
20260042,FIFA World Cup,2026,Group I,,2026-06-22,France,Iraq,3,0,Philadelphia Stadium,
20260043,FIFA World Cup,2026,Group J,,2026-06-22,Argentina,Austria,2,0,Dallas Stadium,
20260044,FIFA World Cup,2026,Group J,,2026-06-22,Jordan,Algeria,1,2,San Francisco Bay Area Stadium,
20260045,FIFA World Cup,2026,Group L,,2026-06-23,England,Ghana,0,0,Boston Stadium,
20260046,FIFA World Cup,2026,Group L,,2026-06-23,Panama,Croatia,0,1,Toronto Stadium,
20260047,FIFA World Cup,2026,Group K,,2026-06-23,Portugal,Uzbekistan,5,0,Houston Stadium,
20260048,FIFA World Cup,2026,Group K,,2026-06-23,Colombia,Congo DR,1,0,Guadalajara Stadium,
20260049,FIFA World Cup,2026,Group C,,2026-06-24,Scotland,Brazil,0,3,Miami Stadium,
20260050,FIFA World Cup,2026,Group C,,2026-06-24,Morocco,Haiti,4,2,Atlanta Stadium,
20260051,FIFA World Cup,2026,Group B,,2026-06-24,Switzerland,Canada,2,1,BC Place Vancouver,
20260052,FIFA World Cup,2026,Group B,,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,Seattle Stadium,
20260053,FIFA World Cup,2026,Group A,,2026-06-24,Czechia,Mexico,0,3,Mexico City Stadium,
20260054,FIFA World Cup,2026,Group A,,2026-06-24,South Africa,Korea Republic,1,0,Monterrey Stadium,
20260055,FIFA World Cup,2026,Group E,,2026-06-25,Curaçao,Côte d'Ivoire,0,2,Philadelphia Stadium,
20260056,FIFA World Cup,2026,Group E,,2026-06-25,Ecuador,Germany,2,1,New York/New Jersey Stadium,
20260057,FIFA World Cup,2026,Group F,,2026-06-25,Japan,Sweden,1,1,Dallas Stadium,
20260058,FIFA World Cup,2026,Group F,,2026-06-25,Tunisia,Netherlands,1,3,Kansas City Stadium,
20260059,FIFA World Cup,2026,Group D,,2026-06-25,Türkiye,USA,3,2,Los Angeles Stadium,
20260060,FIFA World Cup,2026,Group D,,2026-06-25,Paraguay,Australia,0,0,San Francisco Bay Area Stadium,
20260061,FIFA World Cup,2026,Group I,,2026-06-26,Norway,France,1,4,Boston Stadium,
20260062,FIFA World Cup,2026,Group I,,2026-06-26,Senegal,Iraq,5,0,Toronto Stadium,
20260063,FIFA World Cup,2026,Group G,,2026-06-26,Egypt,IR Iran,1,1,Seattle Stadium,
20260064,FIFA World Cup,2026,Group G,,2026-06-26,New Zealand,Belgium,1,5,BC Place Vancouver,
20260065,FIFA World Cup,2026,Group H,,2026-06-26,Cabo Verde,Saudi Arabia,0,0,Houston Stadium,
20260066,FIFA World Cup,2026,Group H,,2026-06-26,Uruguay,Spain,0,1,Guadalajara Stadium,
20260067,FIFA World Cup,2026,Group L,,2026-06-27,Panama,England,0,2,New York/New Jersey Stadium,
20260068,FIFA World Cup,2026,Group L,,2026-06-27,Croatia,Ghana,2,1,Philadelphia Stadium,
20260069,FIFA World Cup,2026,Group J,,2026-06-27,Algeria,Austria,3,3,Kansas City Stadium,
20260070,FIFA World Cup,2026,Group J,,2026-06-27,Jordan,Argentina,1,3,Dallas Stadium,
20260071,FIFA World Cup,2026,Group K,,2026-06-27,Colombia,Portugal,0,0,Miami Stadium,
20260072,FIFA World Cup,2026,Group K,,2026-06-27,Congo DR,Uzbekistan,3,1,Atlanta Stadium,
20260073,FIFA World Cup,2026,Round of 32,,2026-06-28,South Africa,Canada,0,1,Los Angeles Stadium,
20260074,FIFA World Cup,2026,Round of 32,,2026-06-29,Germany,Paraguay,1,1,Boston Stadium,
20260075,FIFA World Cup,2026,Round of 32,,2026-06-29,Netherlands,Morocco,1,1,Monterrey Stadium,
20260076,FIFA World Cup,2026,Round of 32,,2026-06-29,Brazil,Japan,2,1,Houston Stadium,
20260077,FIFA World Cup,2026,Round of 32,,2026-06-30,France,Sweden,3,0,New York/New Jersey Stadium,
20260078,FIFA World Cup,2026,Round of 32,,2026-06-30,Côte d'Ivoire,Norway,1,2,Dallas Stadium,
20260079,FIFA World Cup,2026,Round of 32,,2026-06-30,Mexico,Ecuador,2,0,Mexico City Stadium,
20260080,FIFA World Cup,2026,Round of 32,,2026-07-01,England,Congo DR,2,1,Atlanta Stadium,
20260081,FIFA World Cup,2026,Round of 32,,2026-07-01,USA,Bosnia and Herzegovina,2,0,San Francisco Bay Area Stadium,
20260082,FIFA World Cup,2026,Round of 32,,2026-07-01,Belgium,Senegal,3,2,Seattle Stadium,
20260083,FIFA World Cup,2026,Round of 32,,2026-07-02,Portugal,Croatia,2,1,Toronto Stadium,
20260084,FIFA World Cup,2026,Round of 32,,2026-07-02,Spain,Austria,3,0,Los Angeles Stadium,
20260085,FIFA World Cup,2026,Round of 32,,2026-07-02,Switzerland,Algeria,2,0,BC Place Vancouver,
20260086,FIFA World Cup,2026,Round of 32,,2026-07-03,Argentina,Cabo Verde,3,2,Miami Stadium,
20260087,FIFA World Cup,2026,Round of 32,,2026-07-03,Colombia,Ghana,1,0,Kansas City Stadium,
20260088,FIFA World Cup,2026,Round of 32,,2026-07-03,Australia,Egypt,1,1,Dallas Stadium,
20260089,FIFA World Cup,2026,Round of 16,,2026-07-04,Paraguay,France,0,1,Philadelphia Stadium,
20260090,FIFA World Cup,2026,Round of 16,,2026-07-04,Canada,Morocco,0,3,Houston Stadium,
20260091,FIFA World Cup,2026,Round of 16,,2026-07-05,Brazil,Norway,1,2,New York/New Jersey Stadium,
20260092,FIFA World Cup,2026,Round of 16,,2026-07-05,Mexico,England,2,3,Mexico City Stadium,
20260093,FIFA World Cup,2026,Round of 16,,2026-07-06,Portugal,Spain,0,1,Dallas Stadium,
20260094,FIFA World Cup,2026,Round of 16,,2026-07-06,USA,Belgium,1,4,Seattle Stadium,
20260095,FIFA World Cup,2026,Round of 16,,2026-07-07,Argentina,Egypt,3,2,Atlanta Stadium,
20260096,FIFA World Cup,2026,Round of 16,,2026-07-07,Switzerland,Colombia,0,0,BC Place Vancouver,
