match_id,competition,season,stage,group,match_date,home_team,away_team,home_score,away_score,stadium,referee
7531,FIFA World Cup,2018,Group Stage,,2018-06-16,Argentina,Iceland,1,1,Otkritie Bank Arena,Szymon Marciniak
7545,FIFA World Cup,2018,Group Stage,,2018-06-21,Argentina,Croatia,0,3,Stadion Nizhny Novgorod (Nizhniy Novgorod),Ravshan Irmatov
7564,FIFA World Cup,2018,Group Stage,,2018-06-26,Nigeria,Argentina,1,2,Saint-Petersburg Stadium ( Gazprom Arena ),Cüneyt Çakιr
7580,FIFA World Cup,2018,Round of 16,,2018-06-30,France,Argentina,4,3,Ak Bars Arena,Alireza Faghani
3857264,FIFA World Cup,2022,Group Stage,C,2022-11-30,Poland,Argentina,0,2,Stadium 974,Danny Desmond Makkelie
3857289,FIFA World Cup,2022,Group Stage,C,2022-11-26,Argentina,Mexico,2,0,Lusail Stadium,Daniele Orsato
3857300,FIFA World Cup,2022,Group Stage,C,2022-11-22,Argentina,Saudi Arabia,1,2,Lusail Stadium,Slavko Vinčić
3869151,FIFA World Cup,2022,Round of 16,,2022-12-03,Argentina,Australia,2,1,Ahmad bin Ali Stadium,Szymon Marciniak
3869321,FIFA World Cup,2022,Quarter-finals,,2022-12-09,Netherlands,Argentina,2,2,Lusail Stadium,Antonio Miguel Mateu Lahoz
3869519,FIFA World Cup,2022,Semi-finals,,2022-12-13,Argentina,Croatia,3,0,Lusail Stadium,Daniele Orsato
3869685,FIFA World Cup,2022,Final,,2022-12-18,Argentina,France,3,3,Lusail Stadium,Szymon Marciniak
