match_id,team,is_home,possession_share_proxy,formation,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,goals,fouls_committed
7531,Argentina,True,0.7505,451,796,694,87.2,28,7,1,11
7531,Iceland,False,0.2495,4411,224,137,61.2,9,2,1,17
7545,Argentina,True,0.586,3421,535,413,77.2,10,3,0,20
7545,Croatia,False,0.414,4141,382,274,71.7,14,5,3,23
7564,Nigeria,True,0.3445,352,322,210,65.2,9,3,1,21
7564,Argentina,False,0.6555,442,595,479,80.5,8,3,2,17
7580,France,True,0.4064,4231,350,283,80.9,9,4,4,23
7580,Argentina,False,0.5936,433,535,448,83.7,12,4,3,14
3857264,Poland,True,0.2847,442,337,267,79.2,4,0,0,9
3857264,Argentina,False,0.7153,433,909,826,90.9,24,13,2,12
3857289,Argentina,True,0.5654,442,567,476,84.0,5,2,2,15
3857289,Mexico,False,0.4346,352,403,304,75.4,4,1,0,21
3857300,Argentina,True,0.673,442,646,542,83.9,15,6,1,7
3857300,Saudi Arabia,False,0.327,4141,286,197,68.9,3,2,2,22
3869151,Argentina,True,0.5935,433,728,646,88.7,14,5,2,9
3869151,Australia,False,0.4065,442,478,384,80.3,5,1,0,18
3869321,Netherlands,True,0.5148,3412,691,572,82.8,12,7,5,37
3869321,Argentina,False,0.4852,352,640,531,83.0,19,9,6,22
3869519,Argentina,True,0.4254,442,432,358,82.9,9,7,3,20
3869519,Croatia,False,0.5746,433,648,559,86.3,12,2,0,10
3869685,Argentina,True,0.53,433,693,560,80.8,24,14,7,29
3869685,France,False,0.47,4231,570,434,76.1,14,8,5,19
