team,player_name,birth_date,age_years,market_value_eur,position,club,source,retrieved_at
France,Robin Risser,,,30000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Mike Maignan,,,20000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Brice Samba,,,7000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,William Saliba,,,100000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Dayot Upamecano,,,70000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Maxence Lacroix,,,50000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Ibrahima Konaté,,,45000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Theo Hernández,,,20000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Lucas Hernández,,,18000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Lucas Digne,,,6000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Jules Koundé,,,60000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Malo Gusto,,,35000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Aurélien Tchouaméni,,,70000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,N'Golo Kanté,,,4000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Warren Zaïre-Emery,,,80000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Manu Koné,,,50000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Adrien Rabiot,,,18000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Rayan Cherki,,,90000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Bradley Barcola,,,70000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Michael Olise,,,150000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Désiré Doué,,,120000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Maghnes Akliouche,,,50000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
France,Kylian Mbappé,,,180000000.0,,,transfermarkt,2026-07-14T01:28:40.752004+00:00
